"","anterior dentation of pectoral fin spine size pectoral fin spine","dorsal cleithrum fused with pectoral fin spine","dorsal cleithrum separated from pectoral fin spine","dorsal cleithrum unfused from pectoral fin spine","dorsal fin spine 1 size pectoral fin spine","dorsal fin spine 2 decreased length pectoral fin spine","dorsal fin spine 2 increased length pectoral fin spine","pectoral fin spine and (part_of some male organism) elongated","pectoral fin spine and (part_of some male organism) shape and (not (elongated))","pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)","pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)","pectoral fin spine articulated with scapulocoracoid","pectoral fin spine attached to bony plate","pectoral fin spine banded","pectoral fin spine composition","pectoral fin spine curved","pectoral fin spine decreased curvature","pectoral fin spine decreased length","pectoral fin spine decreased size","pectoral fin spine increased curvature","pectoral fin spine increased length","pectoral fin spine increased size","pectoral fin spine low brightness","pectoral fin spine platelike","pectoral fin spine present","pectoral fin spine recurved","pectoral fin spine separated from bony plate","pectoral fin spine serrated","pectoral fin spine shape","pectoral fin spine size","pectoral fin spine size branched pectoral fin ray","pectoral fin spine size multicellular organism","pectoral fin spine straight","pectoral fin spine structure","pectoral fin spine texture","pectoral fin spine tightly articulated with scapulocoracoid","pectoral fin spine unpigmented","pectoral fin spine unserrated","posterior dentation of pectoral fin spine structure pectoral fin spine","ventral cleithrum fused with pectoral fin spine","ventral cleithrum separated from pectoral fin spine","ventral cleithrum unfused from pectoral fin spine"
"pectoral fin spine and (part_of some male organism) size pectoral fin spine and (part_of some female organism)",0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pectoral fin spine articulated with scapulocoracoid",0.870044052863436,0.912946428571429,0.912946428571429,0.912946428571429,0.845833333333333,0.826883910386965,0.831967213114754,0,0,0,0,1,0.937219730941704,0.942922374429224,0.965357967667437,0.943052391799544,0.930337078651685,0.928251121076233,0.943052391799544,0.930337078651685,0.930337078651685,0.943052391799544,0.942922374429224,0.938775510204082,0.938496583143508,0.938775510204082,0.939325842696629,0.936651583710407,0.94954128440367,0.956120092378753,0.936651583710407,0.951724137931034,0.945205479452055,0.969837587006961,0.956120092378753,0.995381062355658,0.963133640552995,0.936651583710407,0.876106194690266,0.912946428571429,0.912946428571429,0.912946428571429
"pectoral fin spine attached to bony plate",0.866228070175439,0.887912087912088,0.887912087912088,0.887912087912088,0.842323651452282,0.823529411764706,0.828571428571429,0,0,0,0,0.937219730941704,1,0.938636363636364,0.960919540229885,0.938775510204082,0.926174496644295,0.924107142857143,0.938775510204082,0.926174496644295,0.926174496644295,0.938775510204082,0.938636363636364,0.934537246049661,0.934240362811791,0.934537246049661,0.988505747126437,0.932432432432432,0.945205479452055,0.951724137931034,0.932432432432432,0.947368421052632,0.940909090909091,0.965357967667437,0.951724137931034,0.933035714285714,0.958715596330275,0.932432432432432,0.872246696035242,0.887912087912088,0.887912087912088,0.887912087912088
"pectoral fin spine banded",0.887387387387387,0.905405405405405,0.905405405405405,0.905405405405405,0.861702127659574,0.841995841995842,0.847280334728033,0,0,0,0,0.942922374429224,0.938636363636364,1,0.967213114754098,0.962703962703963,0.949425287356322,0.947247706422018,0.962703962703963,0.949425287356322,0.949425287356322,0.962703962703963,0.971830985915493,0.958236658932715,0.962616822429907,0.958236658932715,0.940774487471526,0.956018518518518,0.969483568075117,0.976359338061466,0.956018518518518,0.971764705882353,0.964953271028037,0.971764705882353,0.976359338061466,0.938636363636364,0.964953271028037,0.956018518518518,0.889390519187359,0.905405405405405,0.905405405405405,0.905405405405405
"pectoral fin spine composition",0.891647855530474,0.914027149321267,0.914027149321267,0.914027149321267,0.865671641791045,0.845833333333333,0.851153039832285,0,0,0,0,0.965357967667437,0.960919540229885,0.967213114754098,1,0.967289719626168,0.953917050691244,0.951724137931034,0.967289719626168,0.953917050691244,0.953917050691244,0.967289719626168,0.967213114754098,0.962790697674419,0.962616822429907,0.962790697674419,0.963133640552995,0.960556844547564,0.974117647058824,0.981042654028436,0.960556844547564,0.976415094339623,0.969555035128806,0.995238095238095,0.981042654028436,0.960919540229885,0.988179669030733,0.960556844547564,0.897959183673469,0.914027149321267,0.914027149321267,0.914027149321267
"pectoral fin spine curved",0.887640449438202,0.90561797752809,0.90561797752809,0.90561797752809,0.861995753715499,0.842323651452282,0.847599164926931,0,0,0,0,0.943052391799544,0.938775510204082,0.962703962703963,0.967289719626168,1,0.985981308411215,0.947368421052632,0.962790697674419,0.985981308411215,0.94954128440367,0.962790697674419,0.962703962703963,0.985915492957746,0.958139534883721,0.995283018867924,0.940909090909091,0.978971962616822,0.992890995260663,0.976415094339623,0.956120092378753,0.971830985915493,0.988207547169811,0.971830985915493,0.976415094339623,0.938775510204082,0.965034965034965,0.978971962616822,0.88963963963964,0.90561797752809,0.90561797752809,0.90561797752809
"pectoral fin spine decreased curvature",0.875831485587583,0.893569844789357,0.893569844789357,0.893569844789357,0.851153039832285,0.847107438016529,0.84472049689441,0,0,0,0,0.930337078651685,0.926174496644295,0.949425287356322,0.953917050691244,0.985981308411215,1,0.952164009111617,0.967592592592593,0.981481481481482,0.945454545454545,0.95852534562212,0.949425287356322,0.972222222222222,0.949425287356322,0.981395348837209,0.928251121076233,0.965437788018433,0.978971962616822,0.962790697674419,0.943052391799544,0.958333333333333,0.974418604651163,0.958333333333333,0.962790697674419,0.926174496644295,0.951724137931034,0.965437788018433,0.877777777777778,0.893569844789357,0.893569844789357,0.893569844789357
"pectoral fin spine decreased length",0.878048780487805,0.891592920353982,0.891592920353982,0.891592920353982,0.853249475890985,0.872384937238494,0.858333333333333,0,0,0,0,0.928251121076233,0.924107142857143,0.947247706422018,0.951724137931034,0.947368421052632,0.952164009111617,1,0.983682983682984,0.943310657596372,0.970114942528736,0.965357967667437,0.947247706422018,0.943052391799544,0.947247706422018,0.943052391799544,0.926174496644295,0.940909090909091,0.953917050691244,0.96969696969697,0.949771689497717,0.965197215777262,0.94954128440367,0.956120092378753,0.960556844547564,0.924107142857143,0.94954128440367,0.940909090909091,0.875831485587583,0.891592920353982,0.891592920353982,0.891592920353982
"pectoral fin spine decreased size",0.891891891891892,0.90561797752809,0.90561797752809,0.90561797752809,0.865957446808511,0.865546218487395,0.859243697478992,0,0,0,0,0.943052391799544,0.938775510204082,0.962703962703963,0.967289719626168,0.962790697674419,0.967592592592593,0.983682983682984,1,0.95852534562212,0.967592592592593,0.981220657276995,0.962703962703963,0.958333333333333,0.962703962703963,0.958333333333333,0.940909090909091,0.956120092378753,0.969555035128806,0.985781990521327,0.965197215777262,0.981132075471698,0.965034965034965,0.971830985915493,0.976415094339623,0.938775510204082,0.965034965034965,0.956120092378753,0.88963963963964,0.90561797752809,0.90561797752809,0.90561797752809
"pectoral fin spine increased curvature",0.875831485587583,0.893569844789357,0.893569844789357,0.893569844789357,0.851153039832285,0.839506172839506,0.852390852390852,0,0,0,0,0.930337078651685,0.926174496644295,0.949425287356322,0.953917050691244,0.985981308411215,0.981481481481482,0.943310657596372,0.95852534562212,1,0.954337899543379,0.967592592592593,0.949425287356322,0.972222222222222,0.949425287356322,0.981395348837209,0.928251121076233,0.965437788018433,0.978971962616822,0.962790697674419,0.943052391799544,0.958333333333333,0.974418604651163,0.958333333333333,0.962790697674419,0.926174496644295,0.951724137931034,0.965437788018433,0.877777777777778,0.893569844789357,0.893569844789357,0.893569844789357
