"","basihyal tooth","premaxilla ascending process","upper pharyngeal 4 tooth","upper pharyngeal 5 tooth","urohyal lateral process"
"basihyal tooth",1,0.185365853658537,0.952662721893491,0.940119760479042,0.239766081871345
"premaxilla ascending process",0.185365853658537,1,0.185365853658537,0.173267326732673,0.506024096385542
"upper pharyngeal 4 tooth",0.952662721893491,0.185365853658537,1,0.940119760479042,0.225433526011561
"upper pharyngeal 5 tooth",0.940119760479042,0.173267326732673,0.940119760479042,1,0.204678362573099
"urohyal lateral process",0.239766081871345,0.506024096385542,0.225433526011561,0.204678362573099,1
