"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"270","Chasmocranus rosae","VTO_0060917","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"271","Chasmocranus sp. (de Pinna 1993)","VTO_0060912","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"272","Cheirocerus abuelo","VTO_0036324","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"273","Chiloglanis batesii","VTO_0061907","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1 and 0",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"1",NA
"274","Chiloglanis carnosus","VTO_0061903","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0","1","1","1","1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,"1","1",NA,NA,NA,"0",NA,"1",NA,NA,"1","1 and 0","1 and 0","1","1",NA,"1","1",NA,"0",NA,"1",NA,"1","0",NA,"0","1",NA,NA,NA,"1",NA,NA,NA,NA,"1 and 0","0"
"275","Chiloglanis congicus","VTO_0061894","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"276","Chiloglanis deckenii","VTO_0061931","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"1",NA
"277","Chiloglanis disneyi","VTO_0061889","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1 and 0",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"1",NA
"278","Chiloglanis macropterus","VTO_0061913","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"279","Chiloglanis neumanni","VTO_0061926","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"280","Chiloglanis niloticus","VTO_0061893","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"281","Chiloglanis occidentalis","VTO_0061897","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"282","Chiloglanis polypogon","VTO_0061895","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1 and 0",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"1",NA
"283","Chiloglanis sp. A (Vigliotta 2008)","VTO_0061921","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"284","Chiloglanis sp. B (Vigliotta 2008)","VTO_0061936","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"285","Chiloglanis sp. C (Vigliotta 2008)","VTO_0061918","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"286","Chiloglanis sp. (de Pinna 1993)","VTO_0061887","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"1",NA
"287","Chiloglanis sp. D (Vigliotta (2008)","VTO_0061888","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"288","Chiloglanis sp. E (Vigliotta 2008)","VTO_0061922","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"289","Chiloglanis sp. F (Vigliotta 2008)","VTO_0061933","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"290","Chiloglanis sp. G (Vigliotta 2008)","VTO_0061896","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1 and 0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"291","Chrysichthys aluuensis","VTO_0059225","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"292","Chrysichthys ansorgii","VTO_0059228","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"293","Chrysichthys auratus","VTO_0035125","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"294","Chrysichthys bocagii","VTO_0059217","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"295","Chrysichthys brachynema","VTO_0059250","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"296","Chrysichthys brevibarbis","VTO_0059238","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"297","Chrysichthys cranchii","VTO_0059232","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"298","Chrysichthys delhezi","VTO_0059248","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"299","Chrysichthys grandis","VTO_0059257","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"300","Chrysichthys habereri","VTO_0059227","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"301","Chrysichthys helicophagus","VTO_0035129","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"302","Chrysichthys johnelsi","VTO_0059242","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"303","Chrysichthys longibarbis","VTO_0059224","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"304","Chrysichthys longipinnis","VTO_0059226","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"305","Chrysichthys mabusi","VTO_0059230","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1","1","1","1",NA,"1","1",NA,"0",NA,NA,"1 and 0","1",NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1","1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"306","Chrysichthys maurus","VTO_0059223","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"307","Chrysichthys nigrodigitatus","VTO_0035131","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"308","Chrysichthys ornatus","VTO_0059246","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"309","Chrysichthys persimilis","VTO_0059256","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"310","Chrysichthys platycephalus","VTO_0059235","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"311","Chrysichthys punctatus","VTO_0059233","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"312","Chrysichthys sianenna","VTO_0059247","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"313","Chrysichthys sp. 1 (de Pinna 1993)","VTO_0059252","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"314","Chrysichthys sp. 2 (de Pinna 1993)","VTO_0059249","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"315","Chrysichthys thonneri","VTO_0059251","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"316","Chrysichthys wagenaari","VTO_0059229","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"317","Chrysichthys walkeri","VTO_0059221","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"318","Cinetodus carinatus","VTO_0035755","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"319","Cinetodus conorhynchus","VTO_0059724","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"320","Cinetodus crassilabris","VTO_0035754","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"321","Cinetodus froggatti","VTO_0035756","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1","1",NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"322","Clariallabes longicauda","VTO_0035479","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"323","Clariallabes melas","VTO_0059640","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"324","Clariallabes petricola","VTO_0035480","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"325","Clarias angolensis","VTO_0035532","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"326","Clarias anguillaris","VTO_0035540","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"327","Clarias buettikoferi","VTO_0035541","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"328","Clarias fuscus","VTO_0035544","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"329","Clarias gariepinus","VTO_0035533","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"330","Clarias laeviceps","VTO_0059680","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
