"","taxa","otu","otus","adipose fin skeleton","anal fin middle radial bone","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","branched caudal fin ray","branched dorsal fin ray","branched pectoral fin ray","caudal procurrent ray","dorsal erector muscle","dorsal fin lepidotrichium","dorsal fin middle radial bone","dorsal fin middle radial cartilage","dorsal fin middle radial element","dorsal fin musculature","dorsal fin proximal radial bone","dorsal fin proximal radial bone 1","dorsal fin proximal radial bone 2","dorsal fin proximal radial cartilage","dorsal fin proximal radial cartilage 1","dorsal fin proximal radial cartilage 2","dorsal fin proximal radial element","dorsal fin proximal radial element 1","dorsal fin proximal radial element 2","dorsal fin pterygiophore","dorsal fin pterygiophore 1","dorsal fin radial bone","dorsal fin radial cartilage","dorsal fin radial element","dorsal fin ray","dorsal fin ray 2","dorsal fin ray 3","dorsal fin skeleton","dorsal fin spine","dorsal fin spine 1","dorsal fin spine 2","hypurapophysis","lateropterygium","middle nuchal plate","pectoral fin distal radial bone","pectoral fin distal radial bone 2","pectoral fin distal radial bone 3","pectoral fin distal radial cartilage","pectoral fin distal radial cartilage 2","pectoral fin distal radial cartilage 3","pectoral fin distal radial element","pectoral fin distal radial element 2","pectoral fin distal radial element 3","pectoral fin lepidotrichium","pectoral fin proximal radial bone","pectoral fin proximal radial bone 1","pectoral fin proximal radial bone 2","pectoral fin proximal radial bone 3","pectoral fin proximal radial bone 4","pectoral fin proximal radial cartilage","pectoral fin proximal radial cartilage 1","pectoral fin proximal radial cartilage 2","pectoral fin proximal radial cartilage 3","pectoral fin proximal radial cartilage 4","pectoral fin proximal radial element","pectoral fin proximal radial element 1","pectoral fin proximal radial element 2","pectoral fin proximal radial element 3","pectoral fin proximal radial element 4","pectoral fin radial bone","pectoral fin radial cartilage","pectoral fin radial element","pectoral fin radial skeleton","pectoral fin ray","pectoral fin ray 1","pectoral fin ray 2","pectoral fin skeleton","pectoral fin spine","pelvic fin lepidotrichium","pelvic fin radial bone","pelvic fin radial element","pelvic fin radial skeleton","pelvic fin ray","pelvic fin ray 1","pelvic fin ray 6","pelvic fin skeleton","pelvic radial cartilage","pelvic splint","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior nuchal plate","unbranched dorsal fin ray","uroneural"
"169","Bagrus_meridionalis","VTO_0059430","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA
"170","Bagrus_ubangensis","VTO_0035112","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA
"171","Baryancistrus_niveatus","VTO_0060132","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"172","Batasio_batasio","VTO_0035189","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"1",NA,"1",1,NA,"1",NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",0,NA,NA,"1","1",1,"1",NA,"1",NA,"1",NA,NA,"1"
"173","Batasio_dayi","VTO_0059541","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA
"174","Batasio_tengana","VTO_0035186","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA
"175","Bathybagrus_graueri","VTO_0059276","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,NA
"176","Bathybagrus_tetranema","VTO_0035178","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,"1","1",NA,"1",NA,"0",NA,NA,NA,NA,NA
"177","Batrachocephalus_mino","VTO_0059739","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"178","Batrochoglanis_raninus","VTO_0035052","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1"
"179","Batrochoglanis_villosus","VTO_0035054","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"180","Belodontichthys_dinema","VTO_0061990","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"0",NA,"1",NA,NA,NA,NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Belonoglanis_tenuis","VTO_0035594","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"1 and 0",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",NA,NA,NA,"1","1",NA,"1",NA,"0",NA,"0",1,NA,NA
"182","Brachyglanis_frenatus","VTO_0060978","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"1",NA,"1",1,NA,NA,NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1",NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",NA,NA,NA,"1","1",1,"1",NA,NA,NA,"1",NA,NA,"1"
"183","Brachyglanis_magoi","VTO_0060977","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"184","Brachyglanis_nocturnus","VTO_0060981","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,"1",1,NA,NA,NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1",NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",NA,NA,NA,"1","1",1,"1",NA,NA,NA,"1",NA,NA,"1"
"185","Brachyplatystoma_filamentosum","VTO_0036390","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,"1","1",NA,"1",NA,"0",NA,NA,NA,NA,NA
"186","Brachyplatystoma_juruense","VTO_0036388","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"187","Brachyplatystoma_platynemum","VTO_0036389","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Brachyplatystoma_rousseauxii","VTO_0036387","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"189","Brachyplatystoma_vaillantii","VTO_0036386","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"190","Brachyrhamdia_heteropleura","VTO_0061009","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"1",NA,"1",1,NA,NA,NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1",NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",NA,NA,NA,"1","1",1,"1",NA,NA,NA,"1 and 0",NA,NA,"1"
"191","Brachyrhamdia_imitator","VTO_0061012","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,"1",1,NA,NA,NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1","1",NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",NA,NA,NA,"1","1",1,"1",NA,NA,NA,"1 and 0",NA,NA,"1"
"192","Brachyrhamdia_marthae","VTO_0061013","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"1",NA,"0 and 1",1,NA,NA,NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1",NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",NA,NA,NA,"1","1",1,"1",NA,NA,NA,"1 and 0",NA,NA,"1"
"193","Brachyrhamdia_meesi","VTO_0061010","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,"1",NA,"1",1,NA,NA,NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",1,"1",NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,"1",NA,NA,NA,"1","1",1,"1",NA,NA,NA,"1 and 0",NA,NA,"1"
"194","Brachysynodontis_batensoda","VTO_0061879","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,"1",NA,1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",NA,NA,NA,"1",1,"1",1,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",0,NA,NA,"1","1",NA,"1",NA,"1 and 0",NA,"1",1,NA,NA
"195","Breitensteinia_insignis","VTO_0061310","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1 and 0",NA,NA,1,NA,"1","1",1,NA,NA,NA,1,"1","1",1,"1","1",1,"1","1",1,"1",1,"1","1","1",1,NA,NA,"1",1,"1",1,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,1,NA,NA
"196","Brochis_britskii","VTO_0061348","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"1",1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"197","Brochis_multiradiatus","VTO_0035451","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"1",1,"1",1,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA
"198","Brochis_splendens","VTO_0035452","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"1",1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA
"199","Brustiarius_nox","VTO_0035688","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"200","Brustiarius_solidus","VTO_0035686","t445174aa-974e-4889-b8ef-71d381a2177f",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",1,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA
"201","Bunocephalus","VTO_0035849","t445174aa-974e-4889-b8ef-71d381a2177f",NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"202","Bunocephalus_aleuropsis","VTO_0059370","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"203","Bunocephalus_amaurus","VTO_0059363","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",1,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"204","Bunocephalus_cf._knerii_(Friel_1994)","VTO_0059361","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"205","Bunocephalus_chamaizelus","VTO_0059358","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"206","Bunocephalus_colombianus","VTO_0059364","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"207","Bunocephalus_coracoideus","VTO_0035851","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",1,"1","1","1",1,NA,NA,"1",1,"1",1,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,"1",NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,1,NA,NA
"208","Bunocephalus_doriae","VTO_0059362","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"209","Bunocephalus_knerii","VTO_0059366","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"210","Bunocephalus_larai","VTO_0059356","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"211","Bunocephalus_n._sp._1_(Friel_1994)","VTO_0059367","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"212","Bunocephalus_n._sp._2_(Friel_1994)","VTO_0059374","t445174aa-974e-4889-b8ef-71d381a2177f","0",NA,"1",NA,NA,1,NA,"1","0",1,NA,NA,NA,NA,"1","1",1,"1","1",1,"1","1",1,"1",NA,"1","1","1",1,NA,NA,"1",1,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
